"Barcode","Genes"
"s_008um_00355_00406-1","SFRP4"
"s_008um_00363_00129-1","SFRP4"
"s_008um_00387_00117-1","SFRP4"
"s_008um_00353_00145-1","SFRP4"
"s_008um_00331_00158-1","SFRP4"
"s_008um_00317_00166-1","SFRP4"
"s_008um_00396_00143-1","SFRP4"
"s_008um_00386_00215-1","SFRP4"
"s_008um_00291_00354-1","SFRP4"
"s_008um_00398_00222-1","SFRP4"
"s_008um_00372_00325-1","SFRP4"
"s_008um_00343_00181-1","SFRP4"
"s_008um_00186_00146-1","SFRP4"
"s_008um_00138_00021-1","SFRP4"
"s_008um_00386_00334-1","SFRP4"
"s_008um_00339_00171-1","SFRP4"
"s_008um_00449_00763-1","SFRP4"
"s_008um_00429_00348-1","SFRP4"
"s_008um_00328_00114-1","SFRP4"
"s_008um_00332_00113-1","SFRP4"
"s_008um_00410_00429-1","SFRP4"
"s_008um_00328_00363-1","SFRP4"
"s_008um_00360_00353-1","SFRP4"
"s_008um_00303_00078-1","SFRP4"
"s_008um_00367_00293-1","SFRP4"
"s_008um_00284_00376-1","SFRP4"
"s_008um_00271_00423-1","SFRP4"
"s_008um_00240_00335-1","SFRP4"
"s_008um_00332_00081-1","SFRP4"
"s_008um_00343_00104-1","SFRP4"
"s_008um_00187_00393-1","SFRP4"
"s_008um_00438_00205-1","SFRP4"
"s_008um_00378_00291-1","SFRP4"
"s_008um_00345_00315-1","SFRP4"
"s_008um_00331_00168-1","SFRP4"
"s_008um_00188_00278-1","SFRP4"
"s_008um_00351_00257-1","SFRP4"
"s_008um_00410_00380-1","SFRP4"
"s_008um_00370_00176-1","SFRP4"
"s_008um_00445_00176-1","SFRP4"
"s_008um_00222_00068-1","SFRP4"
"s_008um_00329_00428-1","SFRP4"
"s_008um_00415_00152-1","SFRP4"
"s_008um_00245_00143-1","SFRP4"
"s_008um_00417_00107-1","SFRP4"
"s_008um_00214_00305-1","SFRP4"
"s_008um_00425_00360-1","SFRP4"
"s_008um_00350_00127-1","SFRP4"
"s_008um_00150_00001-1","SFRP4"
"s_008um_00324_00155-1","SFRP4"
"s_008um_00137_00415-1","SFRP4"
"s_008um_00213_00281-1","SFRP4"
"s_008um_00398_00150-1","SFRP4"
"s_008um_00217_00326-1","SFRP4"
"s_008um_00467_00474-1","SFRP4"
"s_008um_00163_00122-1","SFRP4"
"s_008um_00181_00245-1","SFRP4"
"s_008um_00362_00111-1","SFRP4"
"s_008um_00346_00246-1","SFRP4"
"s_008um_00205_00257-1","SFRP4"
"s_008um_00365_00106-1","SFRP4"
"s_008um_00431_00758-1","SFRP4"
"s_008um_00271_00403-1","SFRP4"
"s_008um_00157_00186-1","SFRP4"
"s_008um_00257_00057-1","SFRP4"
"s_008um_00179_00207-1","SFRP4"
"s_008um_00418_00280-1","SFRP4"
"s_008um_00419_00141-1","SFRP4"
"s_008um_00223_00383-1","SFRP4"
"s_008um_00332_00373-1","SFRP4"
"s_008um_00411_00439-1","SFRP4"
"s_008um_00230_00311-1","SFRP4"
"s_008um_00223_00059-1","SFRP4"
"s_008um_00410_00368-1","SFRP4"
"s_008um_00248_00329-1","SFRP4"
"s_008um_00352_00175-1","SFRP4"
"s_008um_00319_00148-1","SFRP4"
"s_008um_00231_00068-1","SFRP4"
"s_008um_00145_00229-1","SFRP4"
"s_008um_00224_00341-1","SFRP4"
"s_008um_00448_00314-1","SFRP4"
"s_008um_00340_00214-1","SFRP4"
"s_008um_00351_00279-1","SFRP4"
"s_008um_00283_00149-1","SFRP4"
"s_008um_00342_00373-1","SFRP4"
"s_008um_00253_00114-1","SFRP4"
"s_008um_00362_00214-1","SFRP4"
"s_008um_00142_00633-1","SFRP4"
"s_008um_00366_00161-1","SFRP4"
"s_008um_00363_00331-1","SFRP4"
"s_008um_00237_00361-1","SFRP4"
"s_008um_00250_00332-1","SFRP4"
"s_008um_00316_00143-1","SFRP4"
"s_008um_00345_00080-1","SFRP4"
"s_008um_00396_00221-1","SFRP4"
"s_008um_00409_00186-1","SFRP4"
"s_008um_00407_00155-1","SFRP4"
"s_008um_00395_00165-1","SFRP4"
"s_008um_00352_00402-1","SFRP4"
"s_008um_00125_00286-1","SFRP4"
"s_008um_00398_00152-1","SFRP4"
"s_008um_00239_00067-1","SFRP4"
"s_008um_00362_00230-1","SFRP4"
"s_008um_00446_00322-1","SFRP4"
"s_008um_00366_00190-1","SFRP4"
"s_008um_00358_00235-1","SFRP4"
"s_008um_00363_00081-1","SFRP4"
"s_008um_00315_00075-1","SFRP4"
"s_008um_00352_00069-1","SFRP4"
"s_008um_00323_00088-1","SFRP4"
"s_008um_00341_00344-1","SFRP4"
"s_008um_00279_00073-1","SFRP4"
