"Barcode","Genes"
"s_008um_00212_00289-1","MMP11"
"s_008um_00452_00052-1","MMP11"
"s_008um_00405_00179-1","MMP11"
"s_008um_00236_00123-1","MMP11"
"s_008um_00344_00756-1","MMP11"
"s_008um_00554_00058-1","MMP11"
"s_008um_00374_00180-1","MMP11"
"s_008um_00215_00022-1","MMP11"
"s_008um_00282_00092-1","MMP11"
"s_008um_00327_00644-1","MMP11"
"s_008um_00411_00245-1","MMP11"
"s_008um_00598_00147-1","MMP11"
"s_008um_00355_00361-1","MMP11"
"s_008um_00182_00206-1","MMP11"
"s_008um_00393_00761-1","MMP11"
"s_008um_00582_00776-1","MMP11"
"s_008um_00254_00751-1","MMP11"
"s_008um_00609_00467-1","MMP11"
"s_008um_00565_00443-1","MMP11"
"s_008um_00241_00141-1","MMP11"
"s_008um_00491_00103-1","MMP11"
"s_008um_00181_00236-1","MMP11"
"s_008um_00355_00393-1","MMP11"
"s_008um_00498_00264-1","MMP11"
"s_008um_00426_00053-1","MMP11"
"s_008um_00199_00690-1","MMP11"
"s_008um_00220_00214-1","MMP11"
"s_008um_00520_00245-1","MMP11"
"s_008um_00573_00781-1","MMP11"
"s_008um_00567_00047-1","MMP11"
"s_008um_00484_00110-1","MMP11"
"s_008um_00523_00323-1","MMP11"
"s_008um_00378_00405-1","MMP11"
"s_008um_00257_00350-1","MMP11"
"s_008um_00300_00775-1","MMP11"
"s_008um_00507_00095-1","MMP11"
"s_008um_00328_00192-1","MMP11"
"s_008um_00014_00129-1","MMP11"
"s_008um_00259_00232-1","MMP11"
"s_008um_00188_00222-1","MMP11"
"s_008um_00261_00043-1","MMP11"
"s_008um_00566_00339-1","MMP11"
"s_008um_00607_00627-1","MMP11"
"s_008um_00251_00747-1","MMP11"
"s_008um_00307_00375-1","MMP11"
"s_008um_00265_00394-1","MMP11"
"s_008um_00411_00664-1","MMP11"
"s_008um_00334_00295-1","MMP11"
"s_008um_00195_00217-1","MMP11"
"s_008um_00183_00796-1","MMP11"
"s_008um_00330_00173-1","MMP11"
"s_008um_00244_00715-1","MMP11"
"s_008um_00711_00696-1","MMP11"
"s_008um_00329_00046-1","MMP11"
"s_008um_00378_00161-1","MMP11"
"s_008um_00233_00139-1","MMP11"
"s_008um_00347_00051-1","MMP11"
