"Barcode","Genes"
"s_008um_00145_00816-1","TIMP3"
"s_008um_00553_00804-1","TIMP3"
"s_008um_00123_00739-1","TIMP3"
"s_008um_00541_00495-1","TIMP3"
"s_008um_00239_00748-1","TIMP3"
"s_008um_00302_00692-1","TIMP3"
"s_008um_00192_00289-1","TIMP3"
"s_008um_00375_00344-1","TIMP3"
"s_008um_00297_00723-1","TIMP3"
"s_008um_00224_00115-1","TIMP3"
"s_008um_00428_00022-1","TIMP3"
"s_008um_00301_00218-1","TIMP3"
"s_008um_00521_00233-1","TIMP3"
"s_008um_00042_00619-1","TIMP3"
"s_008um_00550_00754-1","TIMP3"
"s_008um_00336_00137-1","TIMP3"
"s_008um_00538_00775-1","TIMP3"
"s_008um_00175_00727-1","TIMP3"
"s_008um_00503_00157-1","TIMP3"
"s_008um_00479_00309-1","TIMP3"
"s_008um_00187_00233-1","TIMP3"
"s_008um_00582_00111-1","TIMP3"
"s_008um_00523_00550-1","TIMP3"
"s_008um_00454_00613-1","TIMP3"
"s_008um_00448_00430-1","TIMP3"
"s_008um_00408_00434-1","TIMP3"
"s_008um_00000_00175-1","TIMP3"
"s_008um_00618_00525-1","TIMP3"
"s_008um_00582_00168-1","TIMP3"
"s_008um_00087_00040-1","TIMP3"
"s_008um_00193_00108-1","TIMP3"
"s_008um_00673_00785-1","TIMP3"
"s_008um_00137_00651-1","TIMP3"
"s_008um_00584_00010-1","TIMP3"
"s_008um_00273_00144-1","TIMP3"
"s_008um_00379_00185-1","TIMP3"
"s_008um_00140_00783-1","TIMP3"
"s_008um_00241_00085-1","TIMP3"
"s_008um_00690_00451-1","TIMP3"
"s_008um_00393_00238-1","TIMP3"
"s_008um_00269_00118-1","TIMP3"
"s_008um_00520_00601-1","TIMP3"
"s_008um_00494_00329-1","TIMP3"
"s_008um_00629_00501-1","TIMP3"
"s_008um_00359_00231-1","TIMP3"
"s_008um_00056_00075-1","TIMP3"
"s_008um_00224_00725-1","TIMP3"
"s_008um_00239_00312-1","TIMP3"
"s_008um_00607_00720-1","TIMP3"
"s_008um_00616_00654-1","TIMP3"
"s_008um_00356_00611-1","TIMP3"
"s_008um_00656_00454-1","TIMP3"
"s_008um_00368_00276-1","TIMP3"
"s_008um_00210_00044-1","TIMP3"
"s_008um_00441_00166-1","TIMP3"
"s_008um_00603_00583-1","TIMP3"
"s_008um_00182_00147-1","TIMP3"
"s_008um_00382_00586-1","TIMP3"
"s_008um_00224_00172-1","TIMP3"
"s_008um_00372_00198-1","TIMP3"
"s_008um_00404_00600-1","TIMP3"
"s_008um_00581_00792-1","TIMP3"
"s_008um_00742_00475-1","TIMP3"
"s_008um_00180_00194-1","TIMP3"
"s_008um_00482_00246-1","TIMP3"
"s_008um_00615_00755-1","TIMP3"
"s_008um_00397_00408-1","TIMP3"
"s_008um_00341_00649-1","TIMP3"
"s_008um_00594_00548-1","TIMP3"
"s_008um_00282_00128-1","TIMP3"
"s_008um_00294_00779-1","TIMP3"
"s_008um_00577_00188-1","TIMP3"
"s_008um_00520_00143-1","TIMP3"
"s_008um_00216_00451-1","TIMP3"
"s_008um_00343_00116-1","TIMP3"
"s_008um_00519_00323-1","TIMP3"
"s_008um_00233_00100-1","TIMP3"
"s_008um_00235_00711-1","TIMP3"
"s_008um_00622_00758-1","TIMP3"
"s_008um_00438_00136-1","TIMP3"
"s_008um_00590_00254-1","TIMP3"
"s_008um_00518_00744-1","TIMP3"
"s_008um_00648_00738-1","TIMP3"
"s_008um_00482_00171-1","TIMP3"
"s_008um_00298_00296-1","TIMP3"
"s_008um_00625_00708-1","TIMP3"
"s_008um_00230_00128-1","TIMP3"
"s_008um_00244_00243-1","TIMP3"
"s_008um_00277_00223-1","TIMP3"
"s_008um_00740_00511-1","TIMP3"
"s_008um_00136_00796-1","TIMP3"
"s_008um_00456_00652-1","TIMP3"
"s_008um_00223_00112-1","TIMP3"
"s_008um_00373_00192-1","TIMP3"
"s_008um_00488_00547-1","TIMP3"
"s_008um_00407_00351-1","TIMP3"
"s_008um_00329_00282-1","TIMP3"
"s_008um_00051_00738-1","TIMP3"
"s_008um_00376_00382-1","TIMP3"
"s_008um_00548_00679-1","TIMP3"
"s_008um_00674_00625-1","TIMP3"
"s_008um_00611_00408-1","TIMP3"
"s_008um_00181_00325-1","TIMP3"
"s_008um_00452_00643-1","TIMP3"
"s_008um_00637_00730-1","TIMP3"
"s_008um_00586_00404-1","TIMP3"
"s_008um_00404_00717-1","TIMP3"
"s_008um_00536_00562-1","TIMP3"
"s_008um_00216_00035-1","TIMP3"
"s_008um_00433_00395-1","TIMP3"
"s_008um_00248_00750-1","TIMP3"
"s_008um_00460_00798-1","TIMP3"
"s_008um_00323_00102-1","TIMP3"
"s_008um_00453_00306-1","TIMP3"
"s_008um_00231_00123-1","TIMP3"
"s_008um_00414_00252-1","TIMP3"
"s_008um_00123_00685-1","TIMP3"
"s_008um_00332_00354-1","TIMP3"
"s_008um_00606_00414-1","TIMP3"
"s_008um_00220_00777-1","TIMP3"
"s_008um_00368_00173-1","TIMP3"
"s_008um_00420_00239-1","TIMP3"
"s_008um_00347_00250-1","TIMP3"
"s_008um_00533_00455-1","TIMP3"
"s_008um_00566_00063-1","TIMP3"
"s_008um_00129_00684-1","TIMP3"
"s_008um_00233_00676-1","TIMP3"
"s_008um_00107_00252-1","TIMP3"
"s_008um_00720_00573-1","TIMP3"
"s_008um_00348_00286-1","TIMP3"
"s_008um_00499_00231-1","TIMP3"
"s_008um_00623_00708-1","TIMP3"
"s_008um_00274_00119-1","TIMP3"
"s_008um_00339_00813-1","TIMP3"
"s_008um_00404_00150-1","TIMP3"
"s_008um_00483_00112-1","TIMP3"
"s_008um_00609_00258-1","TIMP3"
"s_008um_00292_00219-1","TIMP3"
"s_008um_00365_00306-1","TIMP3"
"s_008um_00268_00127-1","TIMP3"
"s_008um_00633_00126-1","TIMP3"
"s_008um_00561_00273-1","TIMP3"
"s_008um_00537_00633-1","TIMP3"
"s_008um_00189_00336-1","TIMP3"
"s_008um_00163_00808-1","TIMP3"
"s_008um_00234_00071-1","TIMP3"
"s_008um_00653_00664-1","TIMP3"
"s_008um_00408_00541-1","TIMP3"
"s_008um_00439_00701-1","TIMP3"
"s_008um_00062_00086-1","TIMP3"
"s_008um_00444_00318-1","TIMP3"
"s_008um_00295_00280-1","TIMP3"
"s_008um_00193_00200-1","TIMP3"
"s_008um_00408_00231-1","TIMP3"
"s_008um_00467_00468-1","TIMP3"
"s_008um_00656_00570-1","TIMP3"
"s_008um_00616_00790-1","TIMP3"
"s_008um_00223_00143-1","TIMP3"
"s_008um_00085_00687-1","TIMP3"
"s_008um_00575_00380-1","TIMP3"
"s_008um_00399_00273-1","TIMP3"
"s_008um_00564_00672-1","TIMP3"
"s_008um_00371_00276-1","TIMP3"
"s_008um_00378_00616-1","TIMP3"
"s_008um_00601_00435-1","TIMP3"
"s_008um_00336_00397-1","TIMP3"
"s_008um_00438_00320-1","TIMP3"
"s_008um_00014_00822-1","TIMP3"
"s_008um_00560_00442-1","TIMP3"
"s_008um_00738_00651-1","TIMP3"
"s_008um_00365_00301-1","TIMP3"
"s_008um_00409_00180-1","TIMP3"
"s_008um_00494_00610-1","TIMP3"
"s_008um_00700_00566-1","TIMP3"
"s_008um_00520_00064-1","TIMP3"
"s_008um_00396_00665-1","TIMP3"
"s_008um_00503_00240-1","TIMP3"
"s_008um_00336_00284-1","TIMP3"
"s_008um_00533_00505-1","TIMP3"
"s_008um_00260_00128-1","TIMP3"
"s_008um_00170_00038-1","TIMP3"
"s_008um_00412_00563-1","TIMP3"
"s_008um_00124_00678-1","TIMP3"
"s_008um_00259_00265-1","TIMP3"
