"Barcode","Genes"
"s_008um_00316_00746-1","MGP"
"s_008um_00059_00339-1","MGP"
"s_008um_00194_00378-1","MGP"
"s_008um_00136_00548-1","MGP"
"s_008um_00362_00111-1","MGP"
"s_008um_00189_00327-1","MGP"
"s_008um_00029_00232-1","MGP"
"s_008um_00396_00326-1","MGP"
"s_008um_00062_00044-1","MGP"
"s_008um_00083_00369-1","MGP"
"s_008um_00346_00246-1","MGP"
"s_008um_00205_00257-1","MGP"
"s_008um_00365_00106-1","MGP"
"s_008um_00165_00287-1","MGP"
"s_008um_00316_00103-1","MGP"
"s_008um_00188_00360-1","MGP"
"s_008um_00271_00403-1","MGP"
"s_008um_00157_00186-1","MGP"
"s_008um_00355_00332-1","MGP"
"s_008um_00137_00409-1","MGP"
"s_008um_00178_00100-1","MGP"
"s_008um_00377_00317-1","MGP"
"s_008um_00403_00427-1","MGP"
"s_008um_00028_00380-1","MGP"
"s_008um_00208_00099-1","MGP"
"s_008um_00223_00383-1","MGP"
"s_008um_00332_00373-1","MGP"
"s_008um_00261_00061-1","MGP"
"s_008um_00297_00128-1","MGP"
"s_008um_00616_00418-1","MGP"
"s_008um_00334_00430-1","MGP"
"s_008um_00044_00438-1","MGP"
"s_008um_00459_00134-1","MGP"
"s_008um_00410_00368-1","MGP"
"s_008um_00153_00136-1","MGP"
"s_008um_00067_00437-1","MGP"
"s_008um_00407_00429-1","MGP"
"s_008um_00186_00359-1","MGP"
"s_008um_00145_00183-1","MGP"
"s_008um_00392_00185-1","MGP"
"s_008um_00125_00188-1","MGP"
"s_008um_00204_00370-1","MGP"
"s_008um_00413_00176-1","MGP"
"s_008um_00575_00494-1","MGP"
"s_008um_00135_00084-1","MGP"
"s_008um_00142_00226-1","MGP"
"s_008um_00059_00068-1","MGP"
"s_008um_00176_00144-1","MGP"
"s_008um_00592_00179-1","MGP"
"s_008um_00228_00416-1","MGP"
"s_008um_00166_00073-1","MGP"
"s_008um_00175_00402-1","MGP"
"s_008um_00357_00579-1","MGP"
"s_008um_00200_00414-1","MGP"
"s_008um_00114_00130-1","MGP"
"s_008um_00396_00452-1","MGP"
"s_008um_00162_00154-1","MGP"
"s_008um_00611_00509-1","MGP"
"s_008um_00253_00114-1","MGP"
"s_008um_00110_00080-1","MGP"
"s_008um_00130_00729-1","MGP"
"s_008um_00321_00508-1","MGP"
"s_008um_00139_00728-1","MGP"
"s_008um_00040_00324-1","MGP"
"s_008um_00237_00361-1","MGP"
"s_008um_00139_00311-1","MGP"
"s_008um_00194_00397-1","MGP"
"s_008um_00303_00361-1","MGP"
"s_008um_00667_00542-1","MGP"
"s_008um_00396_00221-1","MGP"
"s_008um_00221_00364-1","MGP"
"s_008um_00407_00155-1","MGP"
"s_008um_00382_00429-1","MGP"
"s_008um_00352_00402-1","MGP"
"s_008um_00051_00005-1","MGP"
"s_008um_00226_00833-1","MGP"
"s_008um_00211_00353-1","MGP"
"s_008um_00424_00142-1","MGP"
"s_008um_00375_00433-1","MGP"
"s_008um_00006_00119-1","MGP"
"s_008um_00043_00159-1","MGP"
"s_008um_00239_00067-1","MGP"
"s_008um_00363_00081-1","MGP"
"s_008um_00435_00045-1","MGP"
"s_008um_00140_00406-1","MGP"
"s_008um_00585_00267-1","MGP"
"s_008um_00052_00005-1","MGP"
"s_008um_00184_00096-1","MGP"
"s_008um_00136_00012-1","MGP"
"s_008um_00162_00273-1","MGP"
"s_008um_00027_00148-1","MGP"
"s_008um_00157_00397-1","MGP"
"s_008um_00352_00095-1","MGP"
"s_008um_00354_00322-1","MGP"
"s_008um_00386_00443-1","MGP"
"s_008um_00185_00359-1","MGP"
"s_008um_00149_00176-1","MGP"
"s_008um_00012_00760-1","MGP"
"s_008um_00362_00250-1","MGP"
"s_008um_00390_00225-1","MGP"
"s_008um_00030_00384-1","MGP"
"s_008um_00154_00417-1","MGP"
"s_008um_00310_00194-1","MGP"
"s_008um_00405_00179-1","MGP"
"s_008um_00330_00379-1","MGP"
"s_008um_00203_00318-1","MGP"
"s_008um_00225_00370-1","MGP"
"s_008um_00606_00565-1","MGP"
"s_008um_00236_00123-1","MGP"
"s_008um_00555_00518-1","MGP"
"s_008um_00435_00255-1","MGP"
"s_008um_00294_00471-1","MGP"
"s_008um_00115_00819-1","MGP"
"s_008um_00354_00316-1","MGP"
"s_008um_00172_00319-1","MGP"
"s_008um_00057_00325-1","MGP"
"s_008um_00295_00390-1","MGP"
"s_008um_00282_00092-1","MGP"
"s_008um_00455_00489-1","MGP"
"s_008um_00201_00306-1","MGP"
"s_008um_00458_00169-1","MGP"
"s_008um_00078_00068-1","MGP"
"s_008um_00363_00357-1","MGP"
"s_008um_00049_00734-1","MGP"
"s_008um_00128_00141-1","MGP"
"s_008um_00211_00066-1","MGP"
"s_008um_00248_00382-1","MGP"
"s_008um_00358_00200-1","MGP"
"s_008um_00197_00331-1","MGP"
"s_008um_00422_00372-1","MGP"
"s_008um_00174_00237-1","MGP"
"s_008um_00362_00440-1","MGP"
"s_008um_00247_00414-1","MGP"
"s_008um_00175_00392-1","MGP"
"s_008um_00202_00629-1","MGP"
"s_008um_00066_00166-1","MGP"
"s_008um_00160_00401-1","MGP"
"s_008um_00465_00394-1","MGP"
"s_008um_00283_00093-1","MGP"
"s_008um_00157_00055-1","MGP"
"s_008um_00283_00436-1","MGP"
"s_008um_00299_00667-1","MGP"
"s_008um_00424_00367-1","MGP"
"s_008um_00213_00128-1","MGP"
"s_008um_00404_00119-1","MGP"
"s_008um_00209_00235-1","MGP"
"s_008um_00169_00194-1","MGP"
"s_008um_00624_00151-1","MGP"
"s_008um_00331_00466-1","MGP"
"s_008um_00150_00205-1","MGP"
"s_008um_00079_00065-1","MGP"
"s_008um_00257_00350-1","MGP"
"s_008um_00496_00607-1","MGP"
"s_008um_00221_00078-1","MGP"
"s_008um_00153_00206-1","MGP"
"s_008um_00228_00406-1","MGP"
"s_008um_00335_00094-1","MGP"
"s_008um_00300_00775-1","MGP"
"s_008um_00178_00365-1","MGP"
"s_008um_00287_00093-1","MGP"
"s_008um_00247_00360-1","MGP"
"s_008um_00014_00129-1","MGP"
"s_008um_00077_00427-1","MGP"
"s_008um_00138_00078-1","MGP"
"s_008um_00228_00188-1","MGP"
"s_008um_00109_00350-1","MGP"
"s_008um_00330_00415-1","MGP"
"s_008um_00428_00393-1","MGP"
"s_008um_00424_00322-1","MGP"
"s_008um_00393_00441-1","MGP"
"s_008um_00445_00474-1","MGP"
"s_008um_00265_00394-1","MGP"
"s_008um_00155_00009-1","MGP"
"s_008um_00163_00335-1","MGP"
"s_008um_00465_00104-1","MGP"
"s_008um_00184_00260-1","MGP"
"s_008um_00466_00480-1","MGP"
"s_008um_00014_00734-1","MGP"
"s_008um_00110_00155-1","MGP"
"s_008um_00071_00785-1","MGP"
"s_008um_00604_00493-1","MGP"
"s_008um_00740_00467-1","MGP"
"s_008um_00225_00372-1","MGP"
"s_008um_00028_00501-1","MGP"
"s_008um_00382_00143-1","MGP"
"s_008um_00453_00483-1","MGP"
"s_008um_00045_00820-1","MGP"
"s_008um_00378_00161-1","MGP"
"s_008um_00240_00347-1","MGP"
"s_008um_00092_00088-1","MGP"
"s_008um_00176_00326-1","MGP"
"s_008um_00124_00672-1","MGP"
"s_008um_00191_00091-1","MGP"
"s_008um_00196_00379-1","MGP"
"s_008um_00486_00000-1","MGP"
"s_008um_00201_00727-1","MGP"
"s_008um_00268_00690-1","MGP"
"s_008um_00437_00203-1","MGP"
"s_008um_00060_00278-1","MGP"
"s_008um_00284_00374-1","MGP"
"s_008um_00246_00384-1","MGP"
"s_008um_00075_00331-1","MGP"
"s_008um_00172_00632-1","MGP"
"s_008um_00217_00063-1","MGP"
"s_008um_00205_00361-1","MGP"
"s_008um_00228_00121-1","MGP"
"s_008um_00196_00427-1","MGP"
"s_008um_00460_00602-1","MGP"
"s_008um_00094_00765-1","MGP"
"s_008um_00252_00803-1","MGP"
"s_008um_00241_00417-1","MGP"
"s_008um_00167_00112-1","MGP"
"s_008um_00143_00500-1","MGP"
"s_008um_00339_00461-1","MGP"
"s_008um_00334_00180-1","MGP"
"s_008um_00179_00074-1","MGP"
"s_008um_00058_00525-1","MGP"
"s_008um_00173_00312-1","MGP"
"s_008um_00389_00655-1","MGP"
"s_008um_00151_00358-1","MGP"
"s_008um_00339_00162-1","MGP"
"s_008um_00082_00241-1","MGP"
"s_008um_00432_00555-1","MGP"
"s_008um_00422_00347-1","MGP"
"s_008um_00336_00359-1","MGP"
"s_008um_00260_00347-1","MGP"
"s_008um_00669_00616-1","MGP"
"s_008um_00378_00394-1","MGP"
"s_008um_00355_00339-1","MGP"
"s_008um_00353_00282-1","MGP"
"s_008um_00676_00517-1","MGP"
"s_008um_00154_00123-1","MGP"
"s_008um_00369_00414-1","MGP"
"s_008um_00166_00089-1","MGP"
"s_008um_00230_00342-1","MGP"
"s_008um_00053_00434-1","MGP"
"s_008um_00688_00746-1","MGP"
"s_008um_00394_00531-1","MGP"
"s_008um_00132_00319-1","MGP"
"s_008um_00573_00460-1","MGP"
"s_008um_00352_00252-1","MGP"
"s_008um_00200_00101-1","MGP"
"s_008um_00365_00437-1","MGP"
"s_008um_00675_00516-1","MGP"
"s_008um_00013_00130-1","MGP"
"s_008um_00320_00396-1","MGP"
"s_008um_00106_00591-1","MGP"
"s_008um_00221_00353-1","MGP"
"s_008um_00367_00356-1","MGP"
"s_008um_00261_00105-1","MGP"
"s_008um_00059_00089-1","MGP"
"s_008um_00583_00127-1","MGP"
"s_008um_00156_00715-1","MGP"
"s_008um_00398_00795-1","MGP"
"s_008um_00058_00313-1","MGP"
"s_008um_00235_00119-1","MGP"
"s_008um_00549_00660-1","MGP"
"s_008um_00274_00813-1","MGP"
"s_008um_00046_00325-1","MGP"
"s_008um_00606_00721-1","MGP"
"s_008um_00361_00465-1","MGP"
"s_008um_00183_00128-1","MGP"
"s_008um_00000_00242-1","MGP"
"s_008um_00186_00410-1","MGP"
"s_008um_00300_00409-1","MGP"
"s_008um_00199_00581-1","MGP"
"s_008um_00666_00463-1","MGP"
"s_008um_00229_00118-1","MGP"
"s_008um_00261_00421-1","MGP"
"s_008um_00230_00115-1","MGP"
"s_008um_00418_00161-1","MGP"
"s_008um_00562_00553-1","MGP"
"s_008um_00042_00281-1","MGP"
"s_008um_00241_00364-1","MGP"
"s_008um_00039_00062-1","MGP"
"s_008um_00388_00074-1","MGP"
"s_008um_00453_00490-1","MGP"
"s_008um_00566_00795-1","MGP"
"s_008um_00150_00012-1","MGP"
"s_008um_00400_00135-1","MGP"
"s_008um_00168_00258-1","MGP"
"s_008um_00060_00400-1","MGP"
"s_008um_00077_00363-1","MGP"
"s_008um_00028_00473-1","MGP"
"s_008um_00108_00137-1","MGP"
"s_008um_00407_00089-1","MGP"
