"Barcode","Genes"
"s_008um_00638_00635-1","CXCL14"
"s_008um_00661_00460-1","CXCL14"
"s_008um_00700_00567-1","CXCL14"
"s_008um_00585_00441-1","CXCL14"
"s_008um_00149_00360-1","CXCL14"
"s_008um_00588_00176-1","CXCL14"
"s_008um_00514_00009-1","CXCL14"
"s_008um_00646_00744-1","CXCL14"
"s_008um_00626_00578-1","CXCL14"
"s_008um_00249_00812-1","CXCL14"
"s_008um_00321_00149-1","CXCL14"
"s_008um_00550_00659-1","CXCL14"
"s_008um_00661_00612-1","CXCL14"
"s_008um_00531_00209-1","CXCL14"
"s_008um_00614_00631-1","CXCL14"
"s_008um_00485_00648-1","CXCL14"
"s_008um_00455_00008-1","CXCL14"
"s_008um_00391_00190-1","CXCL14"
"s_008um_00564_00220-1","CXCL14"
"s_008um_00318_00331-1","CXCL14"
"s_008um_00460_00440-1","CXCL14"
"s_008um_00368_00755-1","CXCL14"
"s_008um_00619_00608-1","CXCL14"
"s_008um_00621_00447-1","CXCL14"
"s_008um_00622_00140-1","CXCL14"
"s_008um_00584_00024-1","CXCL14"
"s_008um_00119_00744-1","CXCL14"
"s_008um_00631_00587-1","CXCL14"
"s_008um_00528_00060-1","CXCL14"
"s_008um_00504_00650-1","CXCL14"
"s_008um_00592_00774-1","CXCL14"
"s_008um_00627_00621-1","CXCL14"
"s_008um_00309_00105-1","CXCL14"
"s_008um_00731_00669-1","CXCL14"
"s_008um_00140_00657-1","CXCL14"
"s_008um_00392_00545-1","CXCL14"
"s_008um_00511_00400-1","CXCL14"
"s_008um_00466_00107-1","CXCL14"
"s_008um_00424_00718-1","CXCL14"
"s_008um_00349_00748-1","CXCL14"
"s_008um_00637_00573-1","CXCL14"
"s_008um_00589_00538-1","CXCL14"
"s_008um_00231_00140-1","CXCL14"
"s_008um_00605_00797-1","CXCL14"
"s_008um_00573_00019-1","CXCL14"
"s_008um_00106_00830-1","CXCL14"
"s_008um_00450_00426-1","CXCL14"
"s_008um_00497_00320-1","CXCL14"
"s_008um_00090_00782-1","CXCL14"
"s_008um_00623_00137-1","CXCL14"
"s_008um_00318_00092-1","CXCL14"
"s_008um_00262_00690-1","CXCL14"
"s_008um_00105_00611-1","CXCL14"
"s_008um_00520_00465-1","CXCL14"
"s_008um_00426_00226-1","CXCL14"
"s_008um_00555_00266-1","CXCL14"
"s_008um_00431_00563-1","CXCL14"
"s_008um_00376_00181-1","CXCL14"
"s_008um_00278_00711-1","CXCL14"
"s_008um_00068_00746-1","CXCL14"
"s_008um_00217_00607-1","CXCL14"
"s_008um_00734_00507-1","CXCL14"
"s_008um_00594_00100-1","CXCL14"
"s_008um_00619_00240-1","CXCL14"
"s_008um_00307_00752-1","CXCL14"
"s_008um_00306_00319-1","CXCL14"
"s_008um_00138_00783-1","CXCL14"
"s_008um_00166_00672-1","CXCL14"
"s_008um_00170_00630-1","CXCL14"
"s_008um_00136_00642-1","CXCL14"
"s_008um_00241_00693-1","CXCL14"
"s_008um_00368_00075-1","CXCL14"
"s_008um_00559_00700-1","CXCL14"
"s_008um_00413_00357-1","CXCL14"
"s_008um_00355_00165-1","CXCL14"
"s_008um_00736_00504-1","CXCL14"
"s_008um_00402_00306-1","CXCL14"
"s_008um_00559_00025-1","CXCL14"
"s_008um_00189_00785-1","CXCL14"
"s_008um_00606_00099-1","CXCL14"
"s_008um_00612_00561-1","CXCL14"
"s_008um_00596_00394-1","CXCL14"
"s_008um_00188_00740-1","CXCL14"
"s_008um_00296_00775-1","CXCL14"
"s_008um_00453_00090-1","CXCL14"
"s_008um_00246_00603-1","CXCL14"
"s_008um_00453_00557-1","CXCL14"
"s_008um_00434_00281-1","CXCL14"
"s_008um_00221_00774-1","CXCL14"
"s_008um_00331_00537-1","CXCL14"
"s_008um_00079_00747-1","CXCL14"
