"","Feature   ","rho   ","p-value   ","FDR   "
"820","SEPTIN1",0.07,"6.21e-01","7.42e-01"
"487","TP53INP1",0.06,"6.27e-01","7.48e-01"
"1024","AIFM3",0.06,"6.28e-01","7.49e-01"
"200","ITGA9",0.06,"6.29e-01","7.49e-01"
"814","ERN2",-0.06,"6.31e-01","7.50e-01"
"191","ACKR3",0.06,"6.32e-01","7.50e-01"
"426","IGFBP3",0.06,"6.32e-01","7.50e-01"
"117","CMPK2",-0.06,"6.35e-01","7.52e-01"
"511","TPM2",0.06,"6.36e-01","7.52e-01"
"837","MAF",0.06,"6.36e-01","7.52e-01"
"666","CLEC4A",-0.06,"6.37e-01","7.53e-01"
"18","CLIC4",0.06,"6.39e-01","7.53e-01"
"767","THBS1",0.06,"6.39e-01","7.53e-01"
"75","NES",-0.06,"6.42e-01","7.55e-01"
"364","LY6G6D",-0.06,"6.42e-01","7.55e-01"
"1023","ADA2",0.06,"6.43e-01","7.56e-01"
"584","CDHR5",0.06,"6.46e-01","7.57e-01"
"1043","FBLN1",0.06,"6.46e-01","7.57e-01"
"269","SPARCL1",0.06,"6.47e-01","7.57e-01"
"654","ESAM",0.06,"6.48e-01","7.58e-01"
"301","ITGA2",-0.06,"6.51e-01","7.60e-01"
"1017","TMPRSS2",-0.06,"6.53e-01","7.61e-01"
"1034","HMOX1",-0.06,"6.6e-01","7.65e-01"
"831","MT1X",-0.06,"6.67e-01","7.65e-01"
"1012","PSMG1",0.06,"6.67e-01","7.65e-01"
"49","ARHGAP29",-0.06,"6.68e-01","7.65e-01"
"81","FCGR3A",-0.06,"6.68e-01","7.65e-01"
"92","RGS1",-0.06,"6.68e-01","7.65e-01"
"111","AGT",-0.06,"6.68e-01","7.65e-01"
"127","CCDC88A",-0.06,"6.68e-01","7.65e-01"
"211","ADAMTS9",-0.06,"6.68e-01","7.65e-01"
"389","PLN",-0.06,"6.68e-01","7.65e-01"
"561","SPOCK2",0.06,"6.68e-01","7.65e-01"
"572","ENTPD1",-0.06,"6.68e-01","7.65e-01"
"585","MUC2",0.06,"6.68e-01","7.65e-01"
"598","C11orf96",-0.06,"6.68e-01","7.65e-01"
"641","IL10RA",0.06,"6.68e-01","7.65e-01"
"942","JAK3",-0.06,"6.68e-01","7.65e-01"
"165","HOXD11",0.06,"6.75e-01","7.72e-01"
"841","ATP2C2",0.05,"6.76e-01","7.73e-01"
"848","SLC22A31",-0.05,"6.79e-01","7.74e-01"
"433","COL1A2",0.05,"6.84e-01","7.80e-01"
"828","MT2A",0.05,"6.85e-01","7.80e-01"
"656","ETS1",0.05,"6.88e-01","7.82e-01"
"735","NKX2-1",-0.05,"6.89e-01","7.83e-01"
"963","EMP3",0.05,"6.9e-01","7.83e-01"
"923","LAMA3",-0.05,"6.94e-01","7.87e-01"
"530","CERCAM",-0.05,"6.95e-01","7.87e-01"
"729","GZMB",0.05,"6.97e-01","7.88e-01"
"906","RNF157",0.05,"6.98e-01","7.89e-01"
"601","NR1H3",-0.05,"7e-01","7.89e-01"
"388","CALHM6",0.05,"7.02e-01","7.91e-01"
"992","PABPC1L",-0.05,"7.06e-01","7.95e-01"
"630","MMP1",-0.05,"7.15e-01","8.04e-01"
"933","LDLR",-0.05,"7.16e-01","8.04e-01"
"588","LSP1",0.05,"7.19e-01","8.07e-01"
"180","TNS1",-0.05,"7.2e-01","8.07e-01"
"385","CRYBG1",-0.05,"7.26e-01","8.12e-01"
"401","TAGAP",-0.05,"7.26e-01","8.12e-01"
"733","MBIP",-0.05,"7.28e-01","8.14e-01"
"708","RGCC",0.05,"7.31e-01","8.16e-01"
"188","B3GNT7",0.05,"7.32e-01","8.16e-01"
"876","IKZF3",-0.04,"7.55e-01","8.41e-01"
"1","ISG15",-0.04,"7.59e-01","8.44e-01"
"921","RAB31",-0.04,"7.6e-01","8.44e-01"
"700","KNTC1",0.04,"7.61e-01","8.44e-01"
"750","SERPINA1",-0.04,"7.63e-01","8.46e-01"
"670","EMP1",-0.04,"7.67e-01","8.49e-01"
"286","PALLD",0.04,"7.69e-01","8.50e-01"
"352","HIST1H4C",-0.04,"7.7e-01","8.50e-01"
"79","FCER1G",0.04,"7.71e-01","8.50e-01"
"902","CD300A",0.04,"7.73e-01","8.52e-01"
"288","HPGD",-0.04,"7.76e-01","8.55e-01"
"574","CNNM2",0.04,"7.81e-01","8.59e-01"
"133","ACTG2",0.04,"7.82e-01","8.59e-01"
"845","FOXF1",0.04,"7.83e-01","8.60e-01"
"653","VSIG2",0.04,"7.88e-01","8.63e-01"
"45","CLCA1",-0.03,"7.97e-01","8.69e-01"
"51","VCAM1",0.03,"7.97e-01","8.69e-01"
"128","EFEMP1",0.03,"7.97e-01","8.69e-01"
"567","ACTA2",-0.03,"7.97e-01","8.69e-01"
"777","FGF7",0.03,"7.97e-01","8.69e-01"
"417","CPVL",-0.03,"7.99e-01","8.69e-01"
"1019","ITGB2",0.03,"7.99e-01","8.69e-01"
"492","DSCC1",-0.03,"8.01e-01","8.71e-01"
"57","TSPAN2",-0.03,"8.05e-01","8.74e-01"
"198","SLC6A6",-0.03,"8.06e-01","8.74e-01"
"339","PDLIM7",0.03,"8.08e-01","8.75e-01"
"887","HOXB6",-0.03,"8.12e-01","8.77e-01"
"496","SQLE",-0.03,"8.13e-01","8.77e-01"
"944","GDF15",-0.03,"8.14e-01","8.77e-01"
"815","PRKCB",-0.03,"8.15e-01","8.77e-01"
"867","EVI2B",-0.03,"8.15e-01","8.77e-01"
"623","SLCO2B1",0.03,"8.16e-01","8.79e-01"
"1009","ADAMTS1",0.03,"8.23e-01","8.85e-01"
"742","HSPA2",-0.03,"8.25e-01","8.85e-01"
"577","AFAP1L2",0.03,"8.26e-01","8.85e-01"
"694","NTN4",-0.03,"8.26e-01","8.85e-01"
"184","DOCK10",-0.03,"8.28e-01","8.85e-01"
