"Barcode","Genes"
"s_008um_00149_00471-1","GREM1"
"s_008um_00167_00112-1","GREM1"
"s_008um_00353_00120-1","GREM1"
"s_008um_00510_00241-1","GREM1"
"s_008um_00422_00347-1","GREM1"
"s_008um_00082_00283-1","GREM1"
"s_008um_00260_00347-1","GREM1"
"s_008um_00180_00391-1","GREM1"
"s_008um_00099_00479-1","GREM1"
"s_008um_00180_00090-1","GREM1"
"s_008um_00353_00282-1","GREM1"
"s_008um_00299_00415-1","GREM1"
"s_008um_00369_00414-1","GREM1"
"s_008um_00132_00319-1","GREM1"
"s_008um_00449_00137-1","GREM1"
"s_008um_00365_00437-1","GREM1"
"s_008um_00320_00396-1","GREM1"
"s_008um_00146_00717-1","GREM1"
"s_008um_00441_00482-1","GREM1"
"s_008um_00415_00232-1","GREM1"
"s_008um_00183_00128-1","GREM1"
"s_008um_00208_00326-1","GREM1"
"s_008um_00186_00410-1","GREM1"
"s_008um_00114_00461-1","GREM1"
"s_008um_00420_00195-1","GREM1"
"s_008um_00261_00421-1","GREM1"
"s_008um_00380_00106-1","GREM1"
"s_008um_00307_00150-1","GREM1"
"s_008um_00380_00117-1","GREM1"
"s_008um_00453_00490-1","GREM1"
"s_008um_00400_00135-1","GREM1"
"s_008um_00168_00258-1","GREM1"
"s_008um_00450_00137-1","GREM1"
"s_008um_00381_00465-1","GREM1"
"s_008um_00359_00097-1","GREM1"
"s_008um_00211_00340-1","GREM1"
"s_008um_00447_00537-1","GREM1"
"s_008um_00084_00289-1","GREM1"
"s_008um_00373_00431-1","GREM1"
"s_008um_00296_00370-1","GREM1"
"s_008um_00331_00405-1","GREM1"
"s_008um_00166_00114-1","GREM1"
"s_008um_00227_00412-1","GREM1"
"s_008um_00374_00270-1","GREM1"
"s_008um_00320_00465-1","GREM1"
"s_008um_00404_00400-1","GREM1"
"s_008um_00187_00102-1","GREM1"
"s_008um_00219_00110-1","GREM1"
"s_008um_00225_00390-1","GREM1"
"s_008um_00353_00330-1","GREM1"
"s_008um_00446_00246-1","GREM1"
"s_008um_00277_00458-1","GREM1"
"s_008um_00329_00490-1","GREM1"
"s_008um_00413_00247-1","GREM1"
"s_008um_00089_00140-1","GREM1"
"s_008um_00334_00609-1","GREM1"
"s_008um_00322_00080-1","GREM1"
"s_008um_00316_00415-1","GREM1"
"s_008um_00223_00379-1","GREM1"
"s_008um_00413_00313-1","GREM1"
"s_008um_00422_00154-1","GREM1"
"s_008um_00214_00069-1","GREM1"
"s_008um_00202_00217-1","GREM1"
"s_008um_00111_00331-1","GREM1"
"s_008um_00224_00362-1","GREM1"
"s_008um_00107_00476-1","GREM1"
"s_008um_00150_00328-1","GREM1"
"s_008um_00277_00593-1","GREM1"
"s_008um_00106_00346-1","GREM1"
"s_008um_00158_00275-1","GREM1"
"s_008um_00253_00393-1","GREM1"
"s_008um_00202_00370-1","GREM1"
"s_008um_00067_00423-1","GREM1"
"s_008um_00422_00177-1","GREM1"
"s_008um_00164_00351-1","GREM1"
"s_008um_00134_00072-1","GREM1"
"s_008um_00330_00618-1","GREM1"
"s_008um_00248_00356-1","GREM1"
"s_008um_00347_00233-1","GREM1"
"s_008um_00171_00455-1","GREM1"
"s_008um_00193_00320-1","GREM1"
"s_008um_00159_00297-1","GREM1"
"s_008um_00006_00126-1","GREM1"
"s_008um_00339_00379-1","GREM1"
"s_008um_00125_00317-1","GREM1"
"s_008um_00255_00330-1","GREM1"
"s_008um_00019_00491-1","GREM1"
"s_008um_00327_00359-1","GREM1"
"s_008um_00226_00048-1","GREM1"
"s_008um_00459_00317-1","GREM1"
"s_008um_00161_00223-1","GREM1"
"s_008um_00236_00401-1","GREM1"
"s_008um_00178_00162-1","GREM1"
"s_008um_00254_00397-1","GREM1"
"s_008um_00214_00371-1","GREM1"
"s_008um_00371_00323-1","GREM1"
"s_008um_00230_00319-1","GREM1"
"s_008um_00235_00363-1","GREM1"
"s_008um_00351_00104-1","GREM1"
"s_008um_00373_00440-1","GREM1"
"s_008um_00416_00304-1","GREM1"
"s_008um_00380_00100-1","GREM1"
"s_008um_00454_00160-1","GREM1"
"s_008um_00222_00136-1","GREM1"
"s_008um_00382_00340-1","GREM1"
"s_008um_00217_00377-1","GREM1"
"s_008um_00117_00079-1","GREM1"
"s_008um_00433_00229-1","GREM1"
"s_008um_00358_00110-1","GREM1"
"s_008um_00162_00263-1","GREM1"
"s_008um_00377_00138-1","GREM1"
"s_008um_00466_00232-1","GREM1"
"s_008um_00184_00126-1","GREM1"
"s_008um_00152_00465-1","GREM1"
"s_008um_00395_00118-1","GREM1"
"s_008um_00349_00330-1","GREM1"
"s_008um_00186_00304-1","GREM1"
"s_008um_00442_00177-1","GREM1"
"s_008um_00370_00465-1","GREM1"
"s_008um_00255_00134-1","GREM1"
"s_008um_00366_00077-1","GREM1"
"s_008um_00423_00258-1","GREM1"
"s_008um_00186_00104-1","GREM1"
"s_008um_00300_00077-1","GREM1"
"s_008um_00207_00325-1","GREM1"
"s_008um_00409_00255-1","GREM1"
"s_008um_00381_00085-1","GREM1"
"s_008um_00368_00118-1","GREM1"
"s_008um_00372_00081-1","GREM1"
"s_008um_00375_00306-1","GREM1"
"s_008um_00354_00389-1","GREM1"
"s_008um_00290_00454-1","GREM1"
"s_008um_00092_00480-1","GREM1"
"s_008um_00161_00414-1","GREM1"
"s_008um_00433_00260-1","GREM1"
"s_008um_00223_00410-1","GREM1"
"s_008um_00164_00456-1","GREM1"
"s_008um_00407_00313-1","GREM1"
"s_008um_00395_00471-1","GREM1"
"s_008um_00250_00141-1","GREM1"
"s_008um_00463_00481-1","GREM1"
"s_008um_00265_00392-1","GREM1"
"s_008um_00381_00469-1","GREM1"
"s_008um_00171_00362-1","GREM1"
"s_008um_00376_00109-1","GREM1"
"s_008um_00221_00567-1","GREM1"
"s_008um_00321_00388-1","GREM1"
"s_008um_00228_00313-1","GREM1"
"s_008um_00167_00412-1","GREM1"
"s_008um_00196_00377-1","GREM1"
"s_008um_00083_00481-1","GREM1"
"s_008um_00075_00473-1","GREM1"
"s_008um_00141_00473-1","GREM1"
"s_008um_00214_00370-1","GREM1"
"s_008um_00352_00387-1","GREM1"
"s_008um_00289_00459-1","GREM1"
"s_008um_00230_00406-1","GREM1"
"s_008um_00249_00378-1","GREM1"
"s_008um_00436_00331-1","GREM1"
"s_008um_00102_00478-1","GREM1"
"s_008um_00382_00288-1","GREM1"
"s_008um_00391_00193-1","GREM1"
"s_008um_00250_00375-1","GREM1"
"s_008um_00230_00058-1","GREM1"
"s_008um_00270_00427-1","GREM1"
"s_008um_00346_00294-1","GREM1"
"s_008um_00350_00299-1","GREM1"
"s_008um_00197_00306-1","GREM1"
"s_008um_00419_00174-1","GREM1"
"s_008um_00174_00356-1","GREM1"
"s_008um_00273_00424-1","GREM1"
"s_008um_00365_00313-1","GREM1"
"s_008um_00621_00613-1","GREM1"
"s_008um_00052_00288-1","GREM1"
"s_008um_00252_00358-1","GREM1"
"s_008um_00399_00453-1","GREM1"
"s_008um_00329_00118-1","GREM1"
"s_008um_00091_00477-1","GREM1"
"s_008um_00247_00126-1","GREM1"
"s_008um_00166_00457-1","GREM1"
"s_008um_00176_00111-1","GREM1"
