"Barcode","Genes"
"s_008um_00336_00376-1","HTRA3"
"s_008um_00307_00714-1","HTRA3"
"s_008um_00366_00161-1","HTRA3"
"s_008um_00158_00640-1","HTRA3"
"s_008um_00438_00322-1","HTRA3"
"s_008um_00414_00267-1","HTRA3"
"s_008um_00211_00353-1","HTRA3"
"s_008um_00121_00715-1","HTRA3"
"s_008um_00436_00461-1","HTRA3"
"s_008um_00366_00190-1","HTRA3"
"s_008um_00471_00000-1","HTRA3"
"s_008um_00352_00069-1","HTRA3"
"s_008um_00341_00344-1","HTRA3"
"s_008um_00338_00183-1","HTRA3"
"s_008um_00651_00746-1","HTRA3"
"s_008um_00491_00380-1","HTRA3"
"s_008um_00099_00360-1","HTRA3"
"s_008um_00271_00145-1","HTRA3"
"s_008um_00362_00250-1","HTRA3"
"s_008um_00212_00289-1","HTRA3"
"s_008um_00398_00203-1","HTRA3"
"s_008um_00155_00818-1","HTRA3"
"s_008um_00132_00671-1","HTRA3"
"s_008um_00629_00528-1","HTRA3"
"s_008um_00354_00316-1","HTRA3"
"s_008um_00184_00044-1","HTRA3"
"s_008um_00215_00022-1","HTRA3"
"s_008um_00362_00820-1","HTRA3"
"s_008um_00201_00306-1","HTRA3"
"s_008um_00526_00737-1","HTRA3"
"s_008um_00345_00215-1","HTRA3"
"s_008um_00458_00169-1","HTRA3"
"s_008um_00092_00462-1","HTRA3"
"s_008um_00508_00193-1","HTRA3"
"s_008um_00314_00754-1","HTRA3"
"s_008um_00745_00496-1","HTRA3"
"s_008um_00290_00376-1","HTRA3"
"s_008um_00358_00200-1","HTRA3"
"s_008um_00247_00414-1","HTRA3"
"s_008um_00461_00116-1","HTRA3"
"s_008um_00064_00382-1","HTRA3"
"s_008um_00520_00245-1","HTRA3"
"s_008um_00238_00705-1","HTRA3"
"s_008um_00743_00491-1","HTRA3"
"s_008um_00203_00281-1","HTRA3"
"s_008um_00303_00830-1","HTRA3"
"s_008um_00555_00556-1","HTRA3"
"s_008um_00326_00163-1","HTRA3"
"s_008um_00150_00205-1","HTRA3"
"s_008um_00294_00100-1","HTRA3"
"s_008um_00153_00456-1","HTRA3"
"s_008um_00264_00486-1","HTRA3"
"s_008um_00405_00281-1","HTRA3"
"s_008um_00620_00635-1","HTRA3"
"s_008um_00109_00350-1","HTRA3"
"s_008um_00261_00043-1","HTRA3"
"s_008um_00470_00302-1","HTRA3"
"s_008um_00100_00807-1","HTRA3"
"s_008um_00071_00785-1","HTRA3"
"s_008um_00510_00724-1","HTRA3"
"s_008um_00740_00467-1","HTRA3"
"s_008um_00382_00143-1","HTRA3"
"s_008um_00542_00174-1","HTRA3"
"s_008um_00286_00731-1","HTRA3"
"s_008um_00378_00161-1","HTRA3"
"s_008um_00233_00139-1","HTRA3"
"s_008um_00455_00138-1","HTRA3"
"s_008um_00395_00006-1","HTRA3"
"s_008um_00699_00469-1","HTRA3"
"s_008um_00195_00822-1","HTRA3"
"s_008um_00393_00182-1","HTRA3"
"s_008um_00351_00370-1","HTRA3"
"s_008um_00307_00349-1","HTRA3"
"s_008um_00228_00121-1","HTRA3"
"s_008um_00735_00490-1","HTRA3"
"s_008um_00692_00748-1","HTRA3"
"s_008um_00381_00409-1","HTRA3"
"s_008um_00235_00048-1","HTRA3"
"s_008um_00329_00340-1","HTRA3"
"s_008um_00252_00104-1","HTRA3"
"s_008um_00293_00678-1","HTRA3"
"s_008um_00382_00137-1","HTRA3"
"s_008um_00510_00241-1","HTRA3"
"s_008um_00241_00324-1","HTRA3"
"s_008um_00337_00342-1","HTRA3"
"s_008um_00378_00394-1","HTRA3"
"s_008um_00207_00805-1","HTRA3"
"s_008um_00128_00780-1","HTRA3"
"s_008um_00216_00048-1","HTRA3"
"s_008um_00388_00577-1","HTRA3"
"s_008um_00255_00320-1","HTRA3"
"s_008um_00676_00517-1","HTRA3"
"s_008um_00356_00743-1","HTRA3"
"s_008um_00467_00111-1","HTRA3"
"s_008um_00344_00075-1","HTRA3"
"s_008um_00532_00080-1","HTRA3"
"s_008um_00434_00643-1","HTRA3"
"s_008um_00473_00343-1","HTRA3"
"s_008um_00532_00250-1","HTRA3"
"s_008um_00220_00210-1","HTRA3"
"s_008um_00542_00555-1","HTRA3"
"s_008um_00589_00125-1","HTRA3"
"s_008um_00554_00710-1","HTRA3"
"s_008um_00257_00059-1","HTRA3"
"s_008um_00386_00320-1","HTRA3"
"s_008um_00331_00173-1","HTRA3"
"s_008um_00423_00411-1","HTRA3"
"s_008um_00480_00010-1","HTRA3"
"s_008um_00282_00087-1","HTRA3"
"s_008um_00400_00208-1","HTRA3"
"s_008um_00540_00560-1","HTRA3"
"s_008um_00149_00633-1","HTRA3"
"s_008um_00208_00326-1","HTRA3"
"s_008um_00114_00461-1","HTRA3"
"s_008um_00294_00324-1","HTRA3"
"s_008um_00697_00726-1","HTRA3"
"s_008um_00347_00583-1","HTRA3"
"s_008um_00377_00281-1","HTRA3"
"s_008um_00221_00295-1","HTRA3"
"s_008um_00214_00459-1","HTRA3"
"s_008um_00668_00635-1","HTRA3"
"s_008um_00326_00307-1","HTRA3"
"s_008um_00211_00340-1","HTRA3"
"s_008um_00545_00238-1","HTRA3"
"s_008um_00355_00586-1","HTRA3"
"s_008um_00199_00352-1","HTRA3"
"s_008um_00416_00518-1","HTRA3"
"s_008um_00455_00800-1","HTRA3"
"s_008um_00444_00251-1","HTRA3"
"s_008um_00243_00082-1","HTRA3"
"s_008um_00558_00801-1","HTRA3"
"s_008um_00584_00625-1","HTRA3"
"s_008um_00527_00246-1","HTRA3"
"s_008um_00635_00448-1","HTRA3"
"s_008um_00227_00412-1","HTRA3"
"s_008um_00552_00804-1","HTRA3"
"s_008um_00514_00631-1","HTRA3"
"s_008um_00400_00257-1","HTRA3"
"s_008um_00269_00102-1","HTRA3"
"s_008um_00395_00554-1","HTRA3"
"s_008um_00302_00794-1","HTRA3"
"s_008um_00390_00550-1","HTRA3"
"s_008um_00371_00023-1","HTRA3"
"s_008um_00219_00110-1","HTRA3"
"s_008um_00353_00330-1","HTRA3"
"s_008um_00294_00469-1","HTRA3"
"s_008um_00233_00303-1","HTRA3"
"s_008um_00367_00382-1","HTRA3"
"s_008um_00345_00070-1","HTRA3"
"s_008um_00598_00810-1","HTRA3"
"s_008um_00375_00369-1","HTRA3"
"s_008um_00329_00175-1","HTRA3"
"s_008um_00346_00251-1","HTRA3"
"s_008um_00459_00002-1","HTRA3"
"s_008um_00300_00148-1","HTRA3"
"s_008um_00355_00180-1","HTRA3"
"s_008um_00395_00794-1","HTRA3"
"s_008um_00350_00223-1","HTRA3"
"s_008um_00520_00627-1","HTRA3"
"s_008um_00250_00105-1","HTRA3"
"s_008um_00187_00258-1","HTRA3"
"s_008um_00395_00291-1","HTRA3"
"s_008um_00275_00254-1","HTRA3"
"s_008um_00438_00223-1","HTRA3"
"s_008um_00172_00366-1","HTRA3"
"s_008um_00353_00391-1","HTRA3"
"s_008um_00380_00394-1","HTRA3"
"s_008um_00425_00039-1","HTRA3"
"s_008um_00167_00802-1","HTRA3"
"s_008um_00390_00247-1","HTRA3"
