"Barcode","Genes"
"s_008um_00401_00600-1","IGFBP3"
"s_008um_00661_00612-1","IGFBP3"
"s_008um_00673_00787-1","IGFBP3"
"s_008um_00446_00734-1","IGFBP3"
"s_008um_00485_00648-1","IGFBP3"
"s_008um_00345_00348-1","IGFBP3"
"s_008um_00241_00317-1","IGFBP3"
"s_008um_00354_00170-1","IGFBP3"
"s_008um_00349_00167-1","IGFBP3"
"s_008um_00347_00425-1","IGFBP3"
"s_008um_00252_00380-1","IGFBP3"
"s_008um_00257_00433-1","IGFBP3"
"s_008um_00215_00196-1","IGFBP3"
"s_008um_00429_00337-1","IGFBP3"
"s_008um_00409_00253-1","IGFBP3"
"s_008um_00323_00187-1","IGFBP3"
"s_008um_00204_00212-1","IGFBP3"
"s_008um_00337_00087-1","IGFBP3"
"s_008um_00337_00132-1","IGFBP3"
"s_008um_00421_00370-1","IGFBP3"
"s_008um_00309_00105-1","IGFBP3"
"s_008um_00234_00364-1","IGFBP3"
"s_008um_00145_00200-1","IGFBP3"
"s_008um_00453_00313-1","IGFBP3"
"s_008um_00397_00005-1","IGFBP3"
"s_008um_00381_00213-1","IGFBP3"
"s_008um_00387_00431-1","IGFBP3"
"s_008um_00350_00303-1","IGFBP3"
"s_008um_00400_00109-1","IGFBP3"
"s_008um_00496_00380-1","IGFBP3"
"s_008um_00636_00815-1","IGFBP3"
"s_008um_00605_00797-1","IGFBP3"
"s_008um_00236_00129-1","IGFBP3"
"s_008um_00053_00165-1","IGFBP3"
"s_008um_00258_00048-1","IGFBP3"
"s_008um_00179_00216-1","IGFBP3"
"s_008um_00089_00753-1","IGFBP3"
"s_008um_00426_00226-1","IGFBP3"
"s_008um_00431_00563-1","IGFBP3"
"s_008um_00376_00181-1","IGFBP3"
"s_008um_00300_00615-1","IGFBP3"
"s_008um_00317_00659-1","IGFBP3"
"s_008um_00346_00097-1","IGFBP3"
"s_008um_00189_00293-1","IGFBP3"
"s_008um_00241_00371-1","IGFBP3"
"s_008um_00405_00138-1","IGFBP3"
"s_008um_00213_00601-1","IGFBP3"
"s_008um_00330_00338-1","IGFBP3"
"s_008um_00362_00151-1","IGFBP3"
"s_008um_00413_00357-1","IGFBP3"
"s_008um_00421_00130-1","IGFBP3"
"s_008um_00367_00173-1","IGFBP3"
"s_008um_00210_00120-1","IGFBP3"
"s_008um_00596_00394-1","IGFBP3"
"s_008um_00226_00055-1","IGFBP3"
"s_008um_00424_00100-1","IGFBP3"
"s_008um_00594_00125-1","IGFBP3"
"s_008um_00336_00382-1","IGFBP3"
"s_008um_00669_00465-1","IGFBP3"
"s_008um_00687_00483-1","IGFBP3"
"s_008um_00495_00225-1","IGFBP3"
"s_008um_00367_00780-1","IGFBP3"
"s_008um_00214_00112-1","IGFBP3"
"s_008um_00225_00633-1","IGFBP3"
"s_008um_00159_00772-1","IGFBP3"
"s_008um_00366_00072-1","IGFBP3"
"s_008um_00387_00117-1","IGFBP3"
"s_008um_00353_00145-1","IGFBP3"
"s_008um_00733_00460-1","IGFBP3"
"s_008um_00186_00133-1","IGFBP3"
"s_008um_00359_00289-1","IGFBP3"
"s_008um_00215_00341-1","IGFBP3"
"s_008um_00111_00732-1","IGFBP3"
"s_008um_00361_00235-1","IGFBP3"
"s_008um_00435_00249-1","IGFBP3"
"s_008um_00276_00064-1","IGFBP3"
"s_008um_00250_00029-1","IGFBP3"
"s_008um_00291_00354-1","IGFBP3"
"s_008um_00398_00222-1","IGFBP3"
"s_008um_00343_00181-1","IGFBP3"
